,artist,song,spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cp_length,genres
0,10cc,the wall street shuffle,3HyZGwZAq9oQJQBzSyjs7Q,0.516,0.504,2.0,-10.638,0.0,0.027999999999999997,0.162,8.72e-05,0.10800000000000001,0.655,98.17299999999999,241573.0,4.0,5,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'symphonic rock', 'yacht rock']"
1,1927,if i could,6mIzvlozXozRHRfi1Dxcyz,0.6859999999999999,0.59,4.0,-4.456,1.0,0.0243,0.361,5.7999999999999994e-05,0.0946,0.315,97.163,220867.0,4.0,5,"['australian pop', 'australian rock']"
2,2pac,changes,00i2HU7TEzzftShjRrDSEF,0.865,0.657,7.0,-6.722,1.0,0.076,0.0404,0.0,0.14,0.316,111.115,268960.0,4.0,4,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
3,3 doors down,be like that,3PbHle8KhJp6GuO1jLdEmQ,0.48700000000000004,0.7020000000000001,7.0,-6.0429999999999975,1.0,0.0238,0.00536,4.93e-06,0.129,0.306,95.973,265907.0,4.0,4,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
4,3 doors down,kryptonite,6ZOBP3NvffbU4SZcrnt1k6,0.545,0.865,11.0,-5.7079999999999975,0.0,0.0286,0.006640000000000001,1.12e-05,0.168,0.5429999999999999,99.01,233933.0,4.0,4,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
5,3 doors down,kryptonite,6ZOBP3NvffbU4SZcrnt1k6,0.545,0.865,11.0,-5.7079999999999975,0.0,0.0286,0.006640000000000001,1.12e-05,0.168,0.5429999999999999,99.01,233933.0,4.0,5,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
6,311,amber,51UtgWS4z1eMPuLQOzPtNH,0.659,0.727,4.0,-8.638,0.0,0.0455,0.11900000000000001,0.00427,0.1,0.748,166.16299999999995,211080.0,4.0,3,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'modern rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'reggae fusion', 'rock']"
7,360,run alone,6de6LSyIS9rM47SldiENLP,0.6679999999999999,0.522,9.0,-10.08,1.0,0.0807,0.0128,0.0,0.124,0.544,114.529,273112.0,4.0,3,"['australian hip hop', 'australian pop', 'australian underground hip hop']"
8,38 special,if i'd been the one,6XomFpGnHv0hYgUoW75dOw,0.5670000000000001,0.7609999999999999,7.0,-11.78,1.0,0.0279,0.00486,3.43e-05,0.0547,0.797,142.941,235640.0,4.0,3,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
9,38 special,if i'd been the one,6XomFpGnHv0hYgUoW75dOw,0.5670000000000001,0.7609999999999999,7.0,-11.78,1.0,0.0279,0.00486,3.43e-05,0.0547,0.797,142.941,235640.0,4.0,4,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
10,3lau,escape,2GTi76fD1RgO34wDxRaeXB,0.5760000000000001,0.875,8.0,-4.849,0.0,0.257,0.00063,0.0602,0.22899999999999998,0.12,128.026,275232.0,4.0,5,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
11,3lau,how you love me,1nas007nDbzLwDGwvMdz79,0.496,0.789,1.0,-3.648,1.0,0.0839,0.183,0.0,0.34,0.28600000000000003,127.961,210469.0,4.0,5,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
12,4 non blondes,what's up,0jWgAnTrNZmOGmqgvHhZEm,0.565,0.564,2.0,-10.044,1.0,0.0292,0.161,0.0,0.114,0.45399999999999996,134.355,295533.0,4.0,5,"['new wave pop', 'pop rock']"
13,4 strings,take me away,0EcH1iItB5rVIZaaiQMbsG,0.617,0.79,3.0,-6.983,0.0,0.0365,0.00213,0.0455,0.159,0.267,138.004,190427.0,4.0,5,"['bubble trance', 'progressive house', 'trance', 'uplifting trance', 'vocal trance']"
14,4minute,cut it out,0S4YQCG06LV2aCQjtj5qTL,0.6459999999999999,0.937,6.0,-4.084,1.0,0.138,0.0258,0.0,0.0838,0.637,146.013,204480.0,4.0,5,"['k-pop', 'k-pop girl group']"
15,4minute,hate,3Hd6zm1J4bVeu4VXwaDQL3,0.6859999999999999,0.902,6.0,-3.78,0.0,0.163,0.0474,1.02e-06,0.201,0.615,149.96,216333.0,4.0,3,"['k-pop', 'k-pop girl group']"
16,5 seconds of summer,amnesia,1JCCdiru7fhstOIF4N7WJC,0.594,0.4970000000000001,2.0,-5.26,1.0,0.0303,0.0343,0.0,0.162,0.10099999999999999,101.671,237248.0,4.0,5,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
17,98 degrees,the hardest thing,5fa6K4cBjQKSqz1FitiPX9,0.718,0.503,10.0,-7.024,1.0,0.0287,0.162,0.0,0.0683,0.595,87.986,272933.0,4.0,3,"['boy band', 'dance pop']"
18,a day to remember,downfall of us all,6G7URf5rGe6MvNoiTtNEP7,0.589,0.8809999999999999,0.0,-4.62,1.0,0.0666,0.000256,0.0,0.327,0.7090000000000001,129.95,209093.0,4.0,5,"['metalcore', 'pop punk', 'screamo']"
19,a great big world,say something,6Vc5wAMmXdKIAM7WUoEb7N,0.40700000000000003,0.147,2.0,-8.822000000000003,1.0,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400.0,3.0,4,"['neo mellow', 'piano rock', 'pop rock']"
20,a great big world,say something,6Vc5wAMmXdKIAM7WUoEb7N,0.40700000000000003,0.147,2.0,-8.822000000000003,1.0,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400.0,3.0,5,"['neo mellow', 'piano rock', 'pop rock']"
21,a perfect circle,3 libras,5kHkaBN8OEQlmXfQkACxSt,0.518,0.743,9.0,-8.247,1.0,0.0373,0.0038299999999999996,0.0069,0.078,0.21100000000000002,144.024,219640.0,3.0,3,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'post-grunge', 'rap rock', 'rock']"
22,a perfect circle,the nurse who loved me,0yRtn9coNCSWIigvKJA5wn,0.188,0.192,1.0,-15.355,1.0,0.0342,0.971,0.0195,0.183,0.131,149.791,244773.0,3.0,3,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'post-grunge', 'rap rock', 'rock']"
23,a r rahman,roja,4zS1GqwMvfSsA0g48qvxAq,0.63,0.319,4.0,-17.105999999999998,1.0,0.0467,0.504,0.0,0.0926,0.431,90.956,306147.0,4.0,5,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
24,a-ha,take on me,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,6.0,-7.638,0.0,0.054000000000000006,0.018000000000000002,0.00125,0.0928,0.8759999999999999,84.412,225280.0,4.0,5,"['dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']"
25,a-ha,the sun always shines on tv,2wfpV9gUNaTN1gkct0RUNz,0.578,0.47,9.0,-7.973,0.0,0.0389,0.7829999999999999,0.00014099999999999998,0.6990000000000001,0.40299999999999997,119.605,267840.0,4.0,3,"['dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']"
26,abba,dancing queen,4NtUY5IGzHCaqfZemmAu56,0.539,0.884,9.0,-6.53,1.0,0.0403,0.382,0.0016600000000000002,0.76,0.752,100.81200000000001,230693.0,4.0,4,"['europop', 'swedish pop']"
27,abba,gimme gimme gimme a man after midnight,2PzCOP5Aj9SABiBgNEZ52G,0.747,0.4920000000000001,10.0,-9.616,1.0,0.04,0.0163,0.00897,0.22399999999999998,0.5329999999999999,119.531,292571.0,4.0,3,"['europop', 'swedish pop']"
28,abba,happy new year,7nvmxaLf5hq9ZDTIMME27m,0.509,0.382,9.0,-9.214,1.0,0.0281,0.818,0.0,0.121,0.264,132.51,263800.0,4.0,4,"['europop', 'swedish pop']"
29,abba,knowing me knowing you,4VR8erwUal5AIAhX4aBkhv,0.511,0.821,2.0,-5.098,1.0,0.0339,0.019,5.82e-06,0.218,0.85,107.10700000000001,241813.0,4.0,4,"['europop', 'swedish pop']"
30,abba,knowing me knowing you,4VR8erwUal5AIAhX4aBkhv,0.511,0.821,2.0,-5.098,1.0,0.0339,0.019,5.82e-06,0.218,0.85,107.10700000000001,241813.0,4.0,5,"['europop', 'swedish pop']"
31,abba,mamma mia,22NN4BS1AlqVbyKIWExgON,0.75,0.754,2.0,-6.999,1.0,0.0327,0.287,0.000207,0.444,0.83,137.533,215267.0,4.0,3,"['europop', 'swedish pop']"
32,abba,mamma mia,22NN4BS1AlqVbyKIWExgON,0.75,0.754,2.0,-6.999,1.0,0.0327,0.287,0.000207,0.444,0.83,137.533,215267.0,4.0,5,"['europop', 'swedish pop']"
33,abba,so long,4KtcyvH38JUMmKBNtRfh0V,0.309,0.907,7.0,-4.712,1.0,0.0489,0.0351,0.736,0.293,0.747,159.43200000000004,186507.0,4.0,5,"['europop', 'swedish pop']"
34,abba,sos,5pMmWfuL0FTGshYt7HVJ8P,0.39299999999999996,0.7190000000000001,5.0,-4.773,1.0,0.0279,0.0629,0.00432,0.21899999999999997,0.4970000000000001,124.353,201360.0,4.0,3,"['europop', 'swedish pop']"
35,abba,sos,5pMmWfuL0FTGshYt7HVJ8P,0.39299999999999996,0.7190000000000001,5.0,-4.773,1.0,0.0279,0.0629,0.00432,0.21899999999999997,0.4970000000000001,124.353,201360.0,4.0,5,"['europop', 'swedish pop']"
36,abba,waterloo,0RzhMHIsFMbOGh0oWDvNNK,0.441,0.9259999999999999,2.0,-4.7360000000000015,1.0,0.046,0.423,3.38e-06,0.235,0.779,147.564,168827.0,4.0,5,"['europop', 'swedish pop']"
37,above and beyond,sun and moon,4rfhAoZjGwraqwX1w47uij,0.682,0.524,6.0,-8.061,0.0,0.0918,0.0228,0.0138,0.11,0.19399999999999998,133.998,326267.0,4.0,5,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
38,above and beyond feat alex vargas,all over the world,5oXGCnuJUVHQi0qdRj7EcP,0.654,0.261,0.0,-16.430999999999994,0.0,0.889,0.259,0.0,0.252,0.9059999999999999,90.93,16875.0,1.0,5,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
39,absofacto,dissolve,7pBrj5rt4SSxXwFKOyZfHR,0.688,0.5820000000000001,6.0,-10.668,0.0,0.0542,0.23,0.000157,0.0663,0.872,85.486,224661.0,4.0,5,"['indie psych-pop', 'shimmer psych']"
40,absynthe minded,end of the line,2ackeZqR5i1D1IGM6yEN6F,0.45,0.8270000000000001,9.0,-4.825,1.0,0.0289,0.0633,0.0,0.21899999999999997,0.887,137.109,229680.0,4.0,3,['belgian rock']
41,absynthe minded,end of the line,2ackeZqR5i1D1IGM6yEN6F,0.45,0.8270000000000001,9.0,-4.825,1.0,0.0289,0.0633,0.0,0.21899999999999997,0.887,137.109,229680.0,4.0,5,['belgian rock']
42,ac dc,highway to hell,2zYzyRzz6pRmhPzyfMEC8s,0.573,0.9129999999999999,6.0,-4.793,0.0,0.132,0.0591,0.00173,0.156,0.42200000000000004,115.715,208400.0,4.0,3,"['album rock', 'australian rock', 'hard rock', 'rock']"
43,ace of base,all that she wants,6kWJvPfC4DgUpRsXKNa9z9,0.7979999999999999,0.625,11.0,-9.689,1.0,0.0548,0.00547,7.979999999999999e-05,0.10300000000000001,0.858,93.764,211213.0,4.0,4,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'pop rock']"
44,adam green and binki shapiro,here i am,2UifmVCK5TUTju9PhhsE7e,0.639,0.32299999999999995,7.0,-9.08,1.0,0.032,0.679,0.000103,0.0856,0.34600000000000003,119.135,208560.0,4.0,3,['anti-folk']
45,adam green and binki shapiro,here i am,2UifmVCK5TUTju9PhhsE7e,0.639,0.32299999999999995,7.0,-9.08,1.0,0.032,0.679,0.000103,0.0856,0.34600000000000003,119.135,208560.0,4.0,5,['anti-folk']
46,adam lambert,ghost town,44aN5xKL3kGHvQ5bXVk6B8,0.703,0.736,4.0,-5.709,0.0,0.046,0.18600000000000005,1.92e-05,0.174,0.27399999999999997,119.955,208330.0,4.0,5,"['dance pop', 'idol', 'pop', 'post-teen pop']"
47,adam lambert,if i had you,0H1OyEooZ5SzBYYdJEzxoy,0.648,0.9079999999999999,4.0,-4.251,0.0,0.10800000000000001,0.0113,0.0,0.374,0.7929999999999999,131.14700000000002,228240.0,4.0,3,"['dance pop', 'idol', 'pop', 'post-teen pop']"
48,adam lambert,if i had you,0H1OyEooZ5SzBYYdJEzxoy,0.648,0.9079999999999999,4.0,-4.251,0.0,0.10800000000000001,0.0113,0.0,0.374,0.7929999999999999,131.14700000000002,228240.0,4.0,5,"['dance pop', 'idol', 'pop', 'post-teen pop']"
49,adam lambert,whataya want from me,2rDwdvBma1O1eLzo29p2cr,0.44,0.6829999999999999,11.0,-4.732,0.0,0.0489,0.0070599999999999994,0.0,0.0593,0.445,185.94799999999998,227320.0,4.0,5,"['dance pop', 'idol', 'pop', 'post-teen pop']"
50,adam sandler,somebody kill me,1LyW3Cwi49N1l58Pf1TNKy,0.851,0.265,4.0,-14.402000000000001,1.0,0.4320000000000001,0.7120000000000001,0.000711,0.75,0.94,116.46700000000001,112859.0,4.0,5,"['comedy', 'comic']"
51,adam szabo and johan vilborg,two to one,0EzPUpcVB2L5eW5NHh0zmE,0.535,0.81,4.0,-5.341,1.0,0.0329,0.000231,0.00046399999999999995,0.611,0.4370000000000001,131.968,220019.0,4.0,3,['progressive uplifting trance']
52,adel tawil,lieder,1KXDbhj8PUnHnBbPHDZdBV,0.521,0.6709999999999999,5.0,-6.178,0.0,0.0526,0.318,0.0,0.0962,0.445,183.847,229080.0,4.0,5,['german pop']
53,adele,hello,4sPmO7WMQUAf45kwMOtONw,0.48100000000000004,0.451,5.0,-6.095,0.0,0.0347,0.336,0.0,0.0872,0.289,157.966,295493.0,4.0,5,"['british soul', 'pop', 'uk pop']"
54,adele,rolling in the deep,1CkvWZme3pRgbzaxZnTl5X,0.7290000000000001,0.7559999999999999,8.0,-5.119,1.0,0.0294,0.131,0.0,0.0527,0.522,104.945,228293.0,4.0,5,"['british soul', 'pop', 'uk pop']"
55,adele,send my love,4BHzQ9C00ceJxfG16AlNWb,0.69,0.524,6.0,-8.39,0.0,0.10300000000000001,0.0415,3.16e-06,0.17,0.562,164.023,223080.0,4.0,5,"['british soul', 'pop', 'uk pop']"
56,adele,set fire to the rain,3CKCZ9pfwAfoMZlMncA1Nc,0.61,0.6829999999999999,2.0,-3.8789999999999996,0.0,0.0253,0.003820000000000001,1.79e-06,0.125,0.466,108.00299999999999,241693.0,4.0,5,"['british soul', 'pop', 'uk pop']"
57,adele,set the fire to the rain,3CKCZ9pfwAfoMZlMncA1Nc,0.61,0.6829999999999999,2.0,-3.8789999999999996,0.0,0.0253,0.003820000000000001,1.79e-06,0.125,0.466,108.00299999999999,241693.0,4.0,4,"['british soul', 'pop', 'uk pop']"
58,adele,someone like you,4kflIGfjdZJW4ot2ioixTB,0.5589999999999999,0.33,9.0,-8.251,1.0,0.0285,0.892,0.0,0.0975,0.285,135.109,285040.0,4.0,3,"['british soul', 'pop', 'uk pop']"
59,adele,someone like you,4kflIGfjdZJW4ot2ioixTB,0.5589999999999999,0.33,9.0,-8.251,1.0,0.0285,0.892,0.0,0.0975,0.285,135.109,285040.0,4.0,5,"['british soul', 'pop', 'uk pop']"
60,adele,turning tables,5O6yk6U8L3rTbFsIwuqe8H,0.305,0.452,0.0,-6.077000000000001,0.0,0.0293,0.9520000000000001,1.6800000000000002e-05,0.129,0.21,79.83,250133.0,4.0,4,"['british soul', 'pop', 'uk pop']"
61,adele,when we were young,7IWkJwX9C0J7tHurTD7ViL,0.381,0.594,3.0,-5.97,1.0,0.0486,0.348,0.0,0.0925,0.273,143.86,290907.0,4.0,3,"['british soul', 'pop', 'uk pop']"
62,adele,when we were young,7IWkJwX9C0J7tHurTD7ViL,0.381,0.594,3.0,-5.97,1.0,0.0486,0.348,0.0,0.0925,0.273,143.86,290907.0,4.0,5,"['british soul', 'pop', 'uk pop']"
63,adrian lux,teenage crime,09Mdm9ImPggKQebP23y0Jc,0.5760000000000001,0.912,7.0,-6.079,1.0,0.0402,0.00344,0.8240000000000001,0.605,0.215,128.012,300013.0,4.0,5,"['edm', 'progressive electro house']"
64,adrian lux,weekend heroes - bauer and lanford remix,2KRrWWwIhjalSdbBn9TJwD,0.644,0.674,11.0,-7.213999999999999,0.0,0.0822,0.00031800000000000003,0.126,0.0638,0.466,128.013,374027.0,4.0,4,"['edm', 'progressive electro house']"
65,adrian lux,weekend heroes - bauer and lanford remix,2KRrWWwIhjalSdbBn9TJwD,0.644,0.674,11.0,-7.213999999999999,0.0,0.0822,0.00031800000000000003,0.126,0.0638,0.466,128.013,374027.0,4.0,5,"['edm', 'progressive electro house']"
66,adventure club,wonder,6CLqpL8BvbUH6DI0kLumCR,0.655,0.809,7.0,-3.678,0.0,0.0334,0.0426,0.000505,0.28600000000000003,0.272,123.0,291225.0,4.0,3,"['brostep', 'canadian electronic', 'chillstep', 'complextro', 'edm', 'electro house', 'electronic trap', 'filthstep', 'pop edm']"
67,adventure club,wonder,6CLqpL8BvbUH6DI0kLumCR,0.655,0.809,7.0,-3.678,0.0,0.0334,0.0426,0.000505,0.28600000000000003,0.272,123.0,291225.0,4.0,5,"['brostep', 'canadian electronic', 'chillstep', 'complextro', 'edm', 'electro house', 'electronic trap', 'filthstep', 'pop edm']"
68,adventure time,oh bubblegum,19ttIy5VnZpcsM8EuLtDNF,0.35200000000000004,0.298,7.0,-14.48,1.0,0.0546,0.606,2.52e-06,0.128,0.353,181.325,72843.0,4.0,3,[]
69,aerosmith,crazy,74irxdVWstNlEQjsvArITq,0.37,0.866,6.0,-3.8789999999999996,0.0,0.0384,0.0868,0.0,0.13699999999999998,0.4270000000000001,162.086,316693.0,3.0,3,"['album rock', 'classic rock', 'hard rock', 'rock']"
70,aerosmith,crazy,74irxdVWstNlEQjsvArITq,0.37,0.866,6.0,-3.8789999999999996,0.0,0.0384,0.0868,0.0,0.13699999999999998,0.4270000000000001,162.086,316693.0,3.0,4,"['album rock', 'classic rock', 'hard rock', 'rock']"
71,aerosmith,cryin',0NJC0FDCODpPUntRTTQq97,0.445,0.856,9.0,-3.674,1.0,0.0327,0.000202,0.0101,0.3670000000000001,0.486,105.87200000000001,308333.0,3.0,3,"['album rock', 'classic rock', 'hard rock', 'rock']"
72,aerosmith,cryin',0NJC0FDCODpPUntRTTQq97,0.445,0.856,9.0,-3.674,1.0,0.0327,0.000202,0.0101,0.3670000000000001,0.486,105.87200000000001,308333.0,3.0,4,"['album rock', 'classic rock', 'hard rock', 'rock']"
73,aerosmith,cryin',0NJC0FDCODpPUntRTTQq97,0.445,0.856,9.0,-3.674,1.0,0.0327,0.000202,0.0101,0.3670000000000001,0.486,105.87200000000001,308333.0,3.0,5,"['album rock', 'classic rock', 'hard rock', 'rock']"
74,aerosmith,i don't want to miss a thing,225xvV8r1yKMHErSWivnow,0.38299999999999995,0.662,2.0,-5.162000000000001,1.0,0.0333,0.165,0.0,0.248,0.138,121.154,298760.0,4.0,3,"['album rock', 'classic rock', 'hard rock', 'rock']"
75,aesop rock,daylight,3COHXcLRK9brRjMolzkD7Y,0.564,0.758,11.0,-6.85,1.0,0.28300000000000003,0.0242,0.00109,0.376,0.597,92.67399999999999,266107.0,4.0,5,"['abstract hip hop', 'alternative hip hop', 'conscious hip hop', 'escape room', 'hip hop']"
76,afi,girl's not grey,3fttmSWGThBQTNkuHMoCTN,0.389,0.905,8.0,-4.494,0.0,0.0354,0.008440000000000001,0.00016,0.124,0.672,121.836,190493.0,4.0,5,"['alternative metal', 'emo', 'modern rock', 'pop punk', 'punk', 'screamo', 'skate punk']"
77,afi,miss murder,0Ti2dlF2xLjXblvdU5fCxM,0.308,0.873,8.0,-4.542,1.0,0.0533,0.00022,0.000729,0.0974,0.6859999999999999,143.519,206587.0,4.0,5,"['alternative metal', 'emo', 'modern rock', 'pop punk', 'punk', 'screamo', 'skate punk']"
78,afrojack,ten feet tall,2ldAdghnrO34HPcZ0IWfTu,0.523,0.861,0.0,-3.447,1.0,0.0644,0.0336,0.0,0.14400000000000002,0.34600000000000003,127.04899999999999,229149.0,4.0,5,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
79,afrojack,the spark,5CYJB5Md92kvcrZ4lJDALY,0.6509999999999999,0.898,11.0,-4.942,1.0,0.0391,0.152,0.0,0.11,0.599,126.05,240893.0,4.0,4,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
80,afrojack ft eva simons,take over control,4Hnfzwtdk8ThFQMSCW66Ef,0.547,0.8740000000000001,0.0,-3.852,0.0,0.0326,2.59e-05,0.486,0.10300000000000001,0.156,139.96200000000002,217653.0,4.0,4,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
81,afrojack ft eva simons,take over control,4Hnfzwtdk8ThFQMSCW66Ef,0.547,0.8740000000000001,0.0,-3.852,0.0,0.0326,2.59e-05,0.486,0.10300000000000001,0.156,139.96200000000002,217653.0,4.0,5,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
82,afroman,because i got high,0rRboI6IRuGx56Dq3UdYY4,0.802,0.341,7.0,-8.56,1.0,0.488,0.16899999999999998,0.0,0.0783,0.8490000000000001,166.01,197760.0,4.0,5,"['gangster rap', 'hip hop', 'rap']"
83,agnes,right here right now,76QiLh03h0vsutJSMBJUA1,0.491,0.616,4.0,-5.2620000000000005,0.0,0.0294,0.13,0.0,0.0687,0.171,135.94299999999998,248387.0,4.0,5,"['dance pop', 'electropop', 'europop', 'swedish electropop', 'swedish pop']"
84,ahrix,nova,4wMRo12qupmGNj0sh341xb,0.8590000000000001,0.53,4.0,-14.865,0.0,0.0777,0.013999999999999999,0.818,0.0995,0.349,127.977,281326.0,4.0,4,['deep dubstep']
85,aimee mann,ghost world,0XaDE3ff9pVnvfnKR0Hmv3,0.28,0.722,4.0,-6.475,1.0,0.0366,0.0816,0.0,0.35100000000000003,0.735,200.514,210333.0,4.0,5,"['chamber pop', 'folk', 'indie pop', 'lilith', 'new wave pop', 'permanent wave', 'pop rock', 'singer-songwriter']"
86,air,all i need,7jOM0KIKgIppqIEvEjixaj,0.327,0.426,7.0,-11.575999999999999,0.0,0.027000000000000003,0.878,0.000997,0.18,0.16899999999999998,93.949,268307.0,4.0,3,"['downtempo', 'electronica', 'trip hop']"
87,air,venus,14EMkYvQQ3E7gI8MFc9bFd,0.478,0.42100000000000004,5.0,-9.521,0.0,0.0266,0.8590000000000001,0.91,0.149,0.0599,79.002,244560.0,4.0,3,"['downtempo', 'electronica', 'trip hop']"
88,air,venus,14EMkYvQQ3E7gI8MFc9bFd,0.478,0.42100000000000004,5.0,-9.521,0.0,0.0266,0.8590000000000001,0.91,0.149,0.0599,79.002,244560.0,4.0,5,"['downtempo', 'electronica', 'trip hop']"
89,airbag,sounds that i hear,4u1S4cOM90zoUxb6Dcq4d9,0.456,0.386,9.0,-8.294,0.0,0.0313,0.738,0.127,0.12,0.0393,119.993,445600.0,4.0,4,"['modern progressive rock', 'neo-progressive', 'progressive rock']"
90,akb48,sugar rush,4QTqzaot78lDo2gkauEgq5,0.588,0.867,11.0,-3.533,0.0,0.0331,3.9399999999999995e-05,2.730000000000001e-05,0.0457,0.79,132.026,194827.0,4.0,3,"['idol rock', 'j-idol', 'j-pop', 'j-pop girl group']"
91,akb48,sugar rush,4QTqzaot78lDo2gkauEgq5,0.588,0.867,11.0,-3.533,0.0,0.0331,3.9399999999999995e-05,2.730000000000001e-05,0.0457,0.79,132.026,194827.0,4.0,5,"['idol rock', 'j-idol', 'j-pop', 'j-pop girl group']"
92,alabama shakes,gimme all your love,5qGavrnGfH766WNp5pZXS2,0.392,0.57,11.0,-5.249,0.0,0.0466,0.204,0.299,0.385,0.191,105.46799999999999,243467.0,3.0,3,"['alabama indie', 'garage rock', 'indie rock', 'modern blues rock', 'rock']"
93,alabama shakes,gimme all your love,5qGavrnGfH766WNp5pZXS2,0.392,0.57,11.0,-5.249,0.0,0.0466,0.204,0.299,0.385,0.191,105.46799999999999,243467.0,3.0,4,"['alabama indie', 'garage rock', 'indie rock', 'modern blues rock', 'rock']"
94,alan parsons project,eye in the sky,39qYD4J4BKvZMQgxfXl5bv,0.823,0.41700000000000004,2.0,-12.642999999999999,1.0,0.032,0.562,0.00098,0.0765,0.522,111.928,276280.0,4.0,4,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']"
95,alan silvestri,back to the future theme,54wSl85QlnhtKFXFyVwmjk,0.251,0.162,10.0,-21.938000000000002,1.0,0.0476,0.953,0.851,0.685,0.0796,108.75200000000001,637909.0,4.0,3,"['scorecore', 'soundtrack']"
96,alan silvestri,the cosmos is yours - cosmos a spacetime odyssey,3hdfT9f2jWMxXte12YU3Go,0.22,0.231,2.0,-16.967,1.0,0.0365,0.9209999999999999,0.852,0.15,0.0356,115.441,385267.0,4.0,4,"['scorecore', 'soundtrack']"
97,alan silvestri,the cosmos is yours - cosmos a spacetime odyssey,3hdfT9f2jWMxXte12YU3Go,0.22,0.231,2.0,-16.967,1.0,0.0365,0.9209999999999999,0.852,0.15,0.0356,115.441,385267.0,4.0,5,"['scorecore', 'soundtrack']"
98,alan walker,faded,698ItKASDavgwZ3WjaWjtz,0.46799999999999997,0.627,6.0,-5.085,1.0,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,212107.0,4.0,5,['electro house']
99,alanis morissette,head over feet,735rjks7kQgWCjTQlIHMuH,0.48200000000000004,0.8079999999999999,0.0,-7.176,1.0,0.065,0.0562,0.0,0.20199999999999999,0.43799999999999994,79.59899999999998,267293.0,4.0,5,"['alternative rock', 'canadian pop', 'canadian singer-songwriter', 'pop rock', 'singer-songwriter']"
100,alanis morissette,ironic,1d6KS9GH06JAd19uiBy9IE,0.408,0.5820000000000001,11.0,-8.305,1.0,0.0508,0.218,0.0,0.159,0.365,114.926,230000.0,5.0,3,"['alternative rock', 'canadian pop', 'canadian singer-songwriter', 'pop rock', 'singer-songwriter']"
101,alanis morissette,you oughta know,3jS7bB0oXVOwGFZn3aE5NV,0.665,0.8340000000000001,4.0,-7.737,1.0,0.0576,0.21,0.0,0.452,0.41100000000000003,105.292,249493.0,4.0,3,"['alternative rock', 'canadian pop', 'canadian singer-songwriter', 'pop rock', 'singer-songwriter']"
102,alesso,clash,3YFAjMbTAyOvrnzmsGK8Zq,0.564,0.486,2.0,-5.968,0.0,0.15,0.00536,0.000557,0.0397,0.34299999999999997,126.023,371429.0,4.0,5,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
103,alesso,heroes,3zU9rdflI65tK4dkkNSp77,0.503,0.748,5.0,-4.124,1.0,0.0619,0.0305,0.0,0.34299999999999997,0.35600000000000004,125.896,210013.0,4.0,3,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
