,artist,song,spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cp_length,genres
2479,matt and kim,daylight,57i3M29DWoo7RDk0Tf0LZG,0.57,0.7979999999999999,9.0,-4.92,1.0,0.0323,0.102,0.000128,0.17800000000000002,0.6709999999999999,103.303,171333.0,4.0,4,"['brooklyn indie', 'indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'modern rock', 'shimmer pop', 'stomp and holler']"
2480,matt lange,rift,6a00XPPDWpUeNDbGhRAAch,0.728,0.584,6.0,-8.633,0.0,0.0455,0.000628,0.8059999999999999,0.201,0.504,128.15200000000002,389587.0,4.0,5,"['progressive house', 'progressive trance', 'progressive trance house', 'uplifting trance']"
2481,matt nathanson,come on get higher,38YgZVHPWOWsKrsCXz6JyP,0.672,0.623,9.0,-5.699,1.0,0.0297,0.24100000000000002,0.0,0.0848,0.617,92.01799999999999,215173.0,4.0,4,"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop rock']"
2482,matt nathanson,come on get higher,38YgZVHPWOWsKrsCXz6JyP,0.672,0.623,9.0,-5.699,1.0,0.0297,0.24100000000000002,0.0,0.0848,0.617,92.01799999999999,215173.0,4.0,5,"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop rock']"
2483,matthew koma,one night,0UdTBg2IUhP5GK8N2xN67O,0.721,0.9329999999999999,2.0,-4.249,1.0,0.17,0.0195,0.000365,0.0558,0.182,125.012,384493.0,4.0,5,['pop edm']
2484,mauro scocco,sarah,4uBbgoKiRzcjgjVH6FqgTS,0.516,0.7829999999999999,2.0,-11.577,1.0,0.0336,0.27,0.000638,0.0958,0.5660000000000001,104.087,270027.0,4.0,5,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter', 'swedish soul']"
2485,mausland band,aggressive alpine skiing,45t9UuA15ZaTtUriGV6zgj,0.8420000000000001,0.75,9.0,-7.367000000000001,0.0,0.0923,0.0128,0.00212,0.0693,0.9490000000000001,146.971,117957.0,4.0,5,[]
2486,max richter,on the nature of daylight,56oReVXIfUO9xkX7pHmEU0,0.065,0.341,10.0,-12.743,0.0,0.0482,0.154,0.8540000000000001,0.109,0.0334,65.38,371747.0,4.0,4,"['compositional ambient', 'focus', 'post-minimalism', 'soundtrack']"
2487,max richter,on the nature of daylight,56oReVXIfUO9xkX7pHmEU0,0.065,0.341,10.0,-12.743,0.0,0.0482,0.154,0.8540000000000001,0.109,0.0334,65.38,371747.0,4.0,5,"['compositional ambient', 'focus', 'post-minimalism', 'soundtrack']"
2488,max romeo,i chase the devil,6siwIUzMZ0yNX2vGm2XwZz,0.8540000000000001,0.441,2.0,-11.564,1.0,0.391,0.14400000000000002,4.5e-06,0.135,0.733,149.029,410373.0,4.0,5,"['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']"
2489,maxime le forestier,education sentimentale,7wBGD8HGW91tnIlOTxrWN2,0.53,0.19899999999999998,0.0,-14.942,1.0,0.0407,0.87,0.0,0.158,0.72,134.584,150667.0,3.0,4,['chanson']
2490,maxime le forestier,education sentimentale,7wBGD8HGW91tnIlOTxrWN2,0.53,0.19899999999999998,0.0,-14.942,1.0,0.0407,0.87,0.0,0.158,0.72,134.584,150667.0,3.0,5,['chanson']
2491,mayday parade,oh well oh well,4v1DBjXexqj9YCvGKOWEY1,0.418,0.862,11.0,-3.239,1.0,0.0451,0.000261,0.0,0.129,0.258,94.476,289870.0,4.0,5,"['emo', 'neon pop punk', 'pop emo', 'pop punk']"
2492,mayday parade,terrible things,3ZjnFYlal0fXN6t61wdxhl,0.285,0.371,1.0,-6.8329999999999975,1.0,0.0295,0.698,0.00392,0.10400000000000001,0.3720000000000001,154.989,238076.0,3.0,3,"['emo', 'neon pop punk', 'pop emo', 'pop punk']"
2493,mayday parade,terrible things,3ZjnFYlal0fXN6t61wdxhl,0.285,0.371,1.0,-6.8329999999999975,1.0,0.0295,0.698,0.00392,0.10400000000000001,0.3720000000000001,154.989,238076.0,3.0,4,"['emo', 'neon pop punk', 'pop emo', 'pop punk']"
2494,mazzy star,fade into you,1LzNfuep1bnAUR9skqdHCK,0.42,0.33,9.0,-13.925,1.0,0.0275,0.245,0.000679,0.0677,0.175,157.143,295600.0,3.0,5,"['alternative rock', 'dream pop', 'melancholia', 'slow core']"
2495,mcfly,lonely,4DfN5rzrrWrLS4tDneIItq,0.616,0.5920000000000001,1.0,-5.847,1.0,0.0271,0.0616,0.0,0.136,0.7290000000000001,124.96799999999999,229800.0,4.0,3,"['boy band', 'pop', 'post-teen pop']"
2496,mcfly,lonely,4DfN5rzrrWrLS4tDneIItq,0.616,0.5920000000000001,1.0,-5.847,1.0,0.0271,0.0616,0.0,0.136,0.7290000000000001,124.96799999999999,229800.0,4.0,4,"['boy band', 'pop', 'post-teen pop']"
2497,megadeth,a tout le monde,6olS0TmHmsGr0hXtcBsiVM,0.272,0.747,5.0,-4.86,0.0,0.0401,0.000393,4.03e-05,0.16,0.255,202.77700000000002,262133.0,4.0,3,"['album rock', 'alternative metal', 'groove metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
2498,megadeth,a tout le monde,6olS0TmHmsGr0hXtcBsiVM,0.272,0.747,5.0,-4.86,0.0,0.0401,0.000393,4.03e-05,0.16,0.255,202.77700000000002,262133.0,4.0,4,"['album rock', 'alternative metal', 'groove metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
2499,megadeth,a tout le monde,6olS0TmHmsGr0hXtcBsiVM,0.272,0.747,5.0,-4.86,0.0,0.0401,0.000393,4.03e-05,0.16,0.255,202.77700000000002,262133.0,4.0,5,"['album rock', 'alternative metal', 'groove metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
